timestamp,step,peak_equity,equity,drawdown_pct
1766347200000,0,10000.000000,10000.000000,0.000000
1767733200000,1,10020.465570,10020.465570,0.000000
1768593600000,2,10061.607676,10061.607676,0.000000
1768809600000,3,10061.607676,10029.363606,0.320466
1770652800000,4,10118.751007,10118.751007,0.000000
1771826400000,5,10212.850087,10212.850087,0.000000
1772143200000,6,10273.668814,10273.668814,0.000000
1772283600000,7,10416.711883,10416.711883,0.000000
1772834400000,8,10416.711883,10339.603014,0.740242
