cycle_number,started_at,finished_at,status,notes
1,2026-03-23T20:43:21.790833+00:00,2026-03-23T20:43:22.327882+00:00,ok,returncode=0
1,2026-03-23T21:06:01.821095+00:00,2026-03-23T21:06:02.949977+00:00,ok,returncode=0
2,2026-03-23T21:11:01.840511+00:00,2026-03-23T21:11:02.402037+00:00,ok,returncode=0
3,2026-03-23T21:16:01.845165+00:00,2026-03-23T21:16:02.387974+00:00,ok,returncode=0
1,2026-03-23T21:17:19.257299+00:00,2026-03-23T21:17:19.804572+00:00,ok,returncode=0
1,2026-03-23T21:21:41.426058+00:00,2026-03-23T21:21:41.973539+00:00,ok,returncode=0
2,2026-03-23T22:21:41.437234+00:00,2026-03-23T22:21:42.145124+00:00,ok,returncode=0
3,2026-03-23T23:21:43.005153+00:00,2026-03-23T23:21:43.706812+00:00,ok,returncode=0
4,2026-03-24T00:21:43.011749+00:00,2026-03-24T00:21:43.726080+00:00,ok,returncode=0
5,2026-03-24T01:21:43.020817+00:00,2026-03-24T01:21:43.759590+00:00,ok,returncode=0
6,2026-03-24T02:21:43.084972+00:00,2026-03-24T02:21:46.228018+00:00,ok,returncode=0
