variant_name,regime_filter_enabled,regime_window,min_regime_volatility_pct,scenario_name,symbol,candle_count,random_seed,return_pct,win_rate,max_drawdown_pct,profit_factor,closed_trades,final_balance
base,False,50,0.200000,cc_200_seed_5,ETHUSDT,200,5,0.916578,50.000000,1.017641,2.907450,2,10091.657767
base,False,50,0.200000,cc_200_seed_6,ETHUSDT,200,6,0.345927,66.666667,1.245410,1.310739,3,10034.592696
base,False,50,0.200000,cc_300_seed_5,ETHUSDT,300,5,0.916578,50.000000,1.017641,2.907450,2,10091.657767
base,False,50,0.200000,cc_300_seed_6,ETHUSDT,300,6,0.345927,66.666667,1.245410,1.310739,3,10034.592696
regime_w50_min0.2,True,50,0.200000,cc_200_seed_5,ETHUSDT,200,5,0.916578,50.000000,1.017641,2.907450,2,10091.657767
regime_w50_min0.2,True,50,0.200000,cc_200_seed_6,ETHUSDT,200,6,0.345927,66.666667,1.245410,1.310739,3,10034.592696
regime_w50_min0.2,True,50,0.200000,cc_300_seed_5,ETHUSDT,300,5,0.916578,50.000000,1.017641,2.907450,2,10091.657767
regime_w50_min0.2,True,50,0.200000,cc_300_seed_6,ETHUSDT,300,6,0.345927,66.666667,1.245410,1.310739,3,10034.592696
regime_w50_min0.3,True,50,0.300000,cc_200_seed_5,ETHUSDT,200,5,0.916578,50.000000,1.017641,2.907450,2,10091.657767
regime_w50_min0.3,True,50,0.300000,cc_200_seed_6,ETHUSDT,200,6,0.345927,66.666667,1.245410,1.310739,3,10034.592696
regime_w50_min0.3,True,50,0.300000,cc_300_seed_5,ETHUSDT,300,5,0.916578,50.000000,1.017641,2.907450,2,10091.657767
regime_w50_min0.3,True,50,0.300000,cc_300_seed_6,ETHUSDT,300,6,0.345927,66.666667,1.245410,1.310739,3,10034.592696
regime_w50_min0.5,True,50,0.500000,cc_200_seed_5,ETHUSDT,200,5,0.916578,50.000000,1.017641,2.907450,2,10091.657767
regime_w50_min0.5,True,50,0.500000,cc_200_seed_6,ETHUSDT,200,6,0.345927,66.666667,1.245410,1.310739,3,10034.592696
regime_w50_min0.5,True,50,0.500000,cc_300_seed_5,ETHUSDT,300,5,0.916578,50.000000,1.017641,2.907450,2,10091.657767
regime_w50_min0.5,True,50,0.500000,cc_300_seed_6,ETHUSDT,300,6,0.345927,66.666667,1.245410,1.310739,3,10034.592696
regime_w50_min0.7,True,50,0.700000,cc_200_seed_5,ETHUSDT,200,5,0.000000,0.000000,0.000000,0.000000,0,10000.000000
regime_w50_min0.7,True,50,0.700000,cc_200_seed_6,ETHUSDT,200,6,0.000000,0.000000,0.000000,0.000000,0,10000.000000
regime_w50_min0.7,True,50,0.700000,cc_300_seed_5,ETHUSDT,300,5,0.000000,0.000000,0.000000,0.000000,0,10000.000000
regime_w50_min0.7,True,50,0.700000,cc_300_seed_6,ETHUSDT,300,6,0.000000,0.000000,0.000000,0.000000,0,10000.000000
